Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web site: http://nsidc.org/data/nsidc-0081.html
2016,    01,  01,     12.731,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160101_f17_nrt_n.bin
2016,    01,  02,     12.809,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160102_f17_nrt_n.bin
2016,    01,  03,     12.789,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160103_f17_nrt_n.bin
2016,    01,  04,     12.873,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160104_f17_nrt_n.bin
2016,    01,  05,     12.889,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160105_f17_nrt_n.bin
2016,    01,  06,     13.052,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160106_f17_nrt_n.bin
2016,    01,  07,     13.190,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160107_f17_nrt_n.bin
2016,    01,  08,     13.074,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160108_f17_nrt_n.bin
2016,    01,  09,     13.192,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160109_f17_nrt_n.bin
2016,    01,  10,     13.382,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160110_f17_nrt_n.bin
2016,    01,  11,     13.534,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160111_f17_nrt_n.bin
2016,    01,  12,     13.434,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160112_f17_nrt_n.bin
2016,    01,  13,     13.535,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160113_f17_nrt_n.bin
2016,    01,  14,     13.491,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160114_f17_nrt_n.bin
2016,    01,  15,     13.497,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160115_f17_nrt_n.bin
2016,    01,  16,     13.549,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160116_f17_nrt_n.bin
2016,    01,  17,     13.606,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160117_f17_nrt_n.bin
2016,    01,  18,     13.668,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160118_f17_nrt_n.bin
2016,    01,  19,     13.661,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160119_f17_nrt_n.bin
2016,    01,  20,     13.697,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160120_f17_nrt_n.bin
2016,    01,  21,     13.747,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160121_f17_nrt_n.bin
2016,    01,  22,     13.739,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160122_f17_nrt_n.bin
2016,    01,  23,     13.693,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160123_f17_nrt_n.bin
2016,    01,  24,     13.767,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160124_f17_nrt_n.bin
2016,    01,  25,     13.759,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160125_f17_nrt_n.bin
2016,    01,  26,     13.859,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160126_f17_nrt_n.bin
2016,    01,  27,     13.850,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160127_f17_nrt_n.bin
2016,    01,  28,     13.850,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160128_f17_nrt_n.bin
2016,    01,  29,     13.924,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160129_f17_nrt_n.bin
2016,    01,  30,     13.908,      0.000, ftp://sidads.colorado.edu/pub/DATASETS/nsidc0081_nrt_nasateam_seaice/north/nt_20160130_f17_nrt_n.bin
